timestamp,ip_address,access_token,http_method,invoke_path,cookie,accept,content_type,x_forwarded_for,user_agent,response_code
2020-03-18 20:32:46.998320,65.166.241.227,ad2b5a37-9644-3626-959a-6fc4e6a4cb75,GET,news/1/menu,JSESSIONID=o5f5hlcr74q78w9vepgv4zxeon4poci,application/json,application/json,65.166.241.227,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
2020-03-18 20:32:47.024008,190.98.73.49,d05f4913-8472-36bc-ad86-d341529a73cd,GET,news/1/menu,JSESSIONID=yocsnwiztc33uwvf4uwtcw8gb6ea8oa,application/json,application/json,190.98.73.49,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:47.065245,149.200.133.237,2049d5ba-775d-3f62-a8d1-fa0cf6807bb0,GET,news/1/menu,JSESSIONID=cfvuowrkbvcx4bvic8lcbqdayr8fdf5,application/json,application/json,149.200.133.237,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 20:32:47.082017,46.35.69.166,9fac72b8-e9db-305c-9adc-bcc95da22ef4,GET,news/1/menu,JSESSIONID=6lguqlfag1op2jo4ogcdg5mpwcjzkpo,application/json,application/json,46.35.69.166,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 20:32:47.083930,123.50.100.187,42623ce6-19ea-333c-8005-4a862534d15d,GET,news/1/menu,JSESSIONID=3aq4bbhxj2em4oqkni2edozaloi5tnv,application/json,application/json,123.50.100.187,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:47.129056,161.0.241.135,356b346f-6eec-3023-8dd4-9b41b7cff75a,GET,news/1/menu,JSESSIONID=nyflu1ty1ro4vnnnnd7vgtau4tbi4ss,application/json,application/json,161.0.241.135,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:47.165688,198.51.93.239,2b69b506-4026-3434-a7b3-40260c8dad9f,GET,news/1/menu,JSESSIONID=mlm41e5hektvyxkzuqgrlfr990km3gc,application/json,application/json,198.51.93.239,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Win64; x64; Trident/4.0)",200
2020-03-18 20:32:47.177210,197.234.7.221,768d7361-5fb6-3945-8f3c-a7475f79cffb,GET,news/1/menu,JSESSIONID=mwc4p6e75h0acenu9udiif7l19b0fhr,application/json,application/json,197.234.7.221,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:47.282964,203.0.10.190,ad4d295f-c4a9-3723-b8ce-d15a6c280b9e,GET,places/1/menu,JSESSIONID=51spyybeicarxhng8fp52rk1xl5u17l,application/json,application/json,203.0.10.190,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 20:32:47.396597,213.230.101.79,960dfe9a-9813-3321-9a0c-a477a9c13db1,GET,places/1/menu,JSESSIONID=b6o9ba1ar0wlxsj4le55q3j8uovzd48,application/json,application/json,213.230.101.79,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:47.445195,154.70.198.78,7ef44f37-547f-31cf-b401-5261951e8d23,GET,places/1/menu,JSESSIONID=m2vbtrypcjk8zkz2wuw84x1sez5krdu,application/json,application/json,154.70.198.78,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:47.591066,197.212.52.255,6423ae5b-b665-32be-9ab2-0ebb67aa97e9,GET,cricket/1/menu,JSESSIONID=f25tb8yt9hyj478yw5qo39h0lvqdi5r,application/json,application/json,197.212.52.255,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 20:32:47.598810,198.118.78.2,ee487566-6bef-3c53-bb3b-395cb6b58e7a,GET,cricket/1/menu,JSESSIONID=3tgxu450zlud9r8lgw2xhddlkcsvj8u,application/json,application/json,198.118.78.2,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
2020-03-18 20:32:47.606469,115.133.69.78,04b04e31-efd3-3337-966a-48f8e770f017,GET,cricket/1/menu,JSESSIONID=mitmt6lv3wctbche9b3s2jjarfskpuf,application/json,application/json,115.133.69.78,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/4.0.219.6 Safari/532.1",200
2020-03-18 20:32:47.633491,190.98.73.49,d05f4913-8472-36bc-ad86-d341529a73cd,GET,places/1/menu,JSESSIONID=yocsnwiztc33uwvf4uwtcw8gb6ea8oa,application/json,application/json,190.98.73.49,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:47.635140,198.51.109.190,9336fc23-4578-38e8-ad31-021bb8a7bd09,GET,map/1/menu,JSESSIONID=ddirp7jfhq935rw1refnu1jke04nk5l,application/json,application/json,198.51.109.190,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 20:32:47.781171,65.166.241.227,ad2b5a37-9644-3626-959a-6fc4e6a4cb75,GET,places/1/menu,JSESSIONID=o5f5hlcr74q78w9vepgv4zxeon4poci,application/json,application/json,65.166.241.227,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
2020-03-18 20:32:47.900331,197.159.17.7,cb1e8b2e-222d-3a2f-af2b-20dab560eedc,GET,map/1/menu,JSESSIONID=lokmqeejsc7vp0n3zrq7qdeo30sgm61,application/json,application/json,197.159.17.7,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/4.0.219.6 Safari/532.1",200
2020-03-18 20:32:48.046722,85.94.186.224,501ff842-a049-3319-acc4-19ac31dc8d17,GET,map/1/menu,JSESSIONID=kqme7tkztulh8occv6c640rdqqea8zo,application/json,application/json,85.94.186.224,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:48.099106,91.178.225.206,42db5324-d6d5-3257-b644-4cadb0491a9f,GET,places/1/menu,JSESSIONID=moutcgt7u1dpnwroezyvwkdx0boirfs,application/json,application/json,91.178.225.206,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:48.133563,190.196.192.221,1ae13db7-b6f9-3ed4-ade2-a204b5bf1646,GET,news/1/menu,JSESSIONID=dal7u48nhpv3m74x12rclvp0mj9l00o,application/json,application/json,190.196.192.221,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:48.145544,103.103.108.217,57d3a883-7e08-3358-8948-7cda1081b581,GET,news/1/menu,JSESSIONID=u9mcxhi9mx63g16792l64uc70pt7xe9,application/json,application/json,103.103.108.217,"Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.3) Gecko/20090913 Firefox/3.5.3",200
2020-03-18 20:32:48.160968,46.35.69.166,9fac72b8-e9db-305c-9adc-bcc95da22ef4,GET,places/1/menu,JSESSIONID=6lguqlfag1op2jo4ogcdg5mpwcjzkpo,application/json,application/json,46.35.69.166,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 20:32:48.168530,213.230.101.79,960dfe9a-9813-3321-9a0c-a477a9c13db1,GET,payment/1/menu,JSESSIONID=b6o9ba1ar0wlxsj4le55q3j8uovzd48,application/json,application/json,213.230.101.79,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:48.271194,82.117.10.205,2f79381b-5f76-3cc0-9b59-8c7afaddf260,GET,places/1/menu,JSESSIONID=j5bk87m4lylb4zfkk538zx5zenwdwfq,application/json,application/json,82.117.10.205,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
2020-03-18 20:32:48.284299,192.53.195.42,064a6011-6fcb-3420-a80d-da30b1095575,GET,cricket/1/menu,JSESSIONID=7feqwnhf3e8brezqour216wddf20pqc,application/json,application/json,192.53.195.42,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 20:32:48.287721,154.70.198.78,7ef44f37-547f-31cf-b401-5261951e8d23,GET,payment/1/menu,JSESSIONID=m2vbtrypcjk8zkz2wuw84x1sez5krdu,application/json,application/json,154.70.198.78,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:48.289286,161.0.241.135,356b346f-6eec-3023-8dd4-9b41b7cff75a,GET,places/1/menu,JSESSIONID=nyflu1ty1ro4vnnnnd7vgtau4tbi4ss,application/json,application/json,161.0.241.135,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 20:32:48.296961,198.51.93.239,2b69b506-4026-3434-a7b3-40260c8dad9f,GET,places/1/menu,JSESSIONID=mlm41e5hektvyxkzuqgrlfr990km3gc,application/json,application/json,198.51.93.239,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Win64; x64; Trident/4.0)",200
2020-03-18 20:32:48.309779,123.50.100.187,42623ce6-19ea-333c-8005-4a862534d15d,GET,places/1/menu,JSESSIONID=3aq4bbhxj2em4oqkni2edozaloi5tnv,application/json,application/json,123.50.100.187,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 20:32:48.318543,216.147.159.88,425b6629-21bf-382f-8181-75b11661293b,GET,cricket/1/menu,JSESSIONID=ij2fzfg7oz63e6roknyzv7hv4mldw8u,application/json,application/json,216.147.159.88,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 20:32:48.339887,149.200.133.237,2049d5ba-775d-3f62-a8d1-fa0cf6807bb0,GET,places/1/menu,JSESSIONID=cfvuowrkbvcx4bvic8lcbqdayr8fdf5,application/json,application/json,149.200.133.237,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 20:32:48.368728,198.118.78.2,ee487566-6bef-3c53-bb3b-395cb6b58e7a,GET,cricket/1/menu,JSESSIONID=3tgxu450zlud9r8lgw2xhddlkcsvj8u,application/json,application/json,198.118.78.2,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
