timestamp,ip_address,access_token,http_method,invoke_path,cookie,accept,content_type,x_forwarded_for,user_agent,response_code
2020-03-18 13:55:16.596055,197.243.189.195,08d54f63-ebca-3f6a-881a-e8b03b725997,GET,places/1/menu,JSESSIONID=hb2p9b45r20j8irhczuarlef1ne9dyc,application/json,application/json,197.243.189.195,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.598647,192.1.120.239,081a86e3-9dc3-303f-811f-f4cc486336cd,GET,map/1/menu,JSESSIONID=bmf4eo4vvvsw012j0w17shrhbumowhx,application/json,application/json,192.1.120.239,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.599596,197.148.74.182,33a44796-27ef-3873-bab2-8c1ce3838a4c,GET,map/1/menu,JSESSIONID=94ji0o44bzmjp34kt25oz7izp7whlxi,application/json,application/json,197.148.74.182,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.600217,77.38.38.186,74dd0610-1dac-3eb7-81bc-bf5165065ed7,GET,map/1/menu,JSESSIONID=p82e34uuq0wdyy9n1yio2ip1u88bwuf,application/json,application/json,77.38.38.186,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 13:55:16.602598,196.223.45.219,245928e8-8583-3cc1-b4ba-1c292bccb045,GET,map/1/menu,JSESSIONID=1fk3ryk5hyyuc3gcu8fkgdbe8o47dqt,application/json,application/json,196.223.45.219,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 13:55:16.605799,208.246.140.159,6b5f08ab-4a50-388b-93a6-a7ebd6f782a1,GET,cricket/1/menu,JSESSIONID=sal05zroqj0wvsibq5zscd6g61nhgaz,application/json,application/json,208.246.140.159,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.608100,84.237.254.127,468ce808-6680-3058-9c9e-c448d3778eba,GET,news/1/menu,JSESSIONID=ft72feyr7mterxr0v09vlyh816z10f2,application/json,application/json,84.237.254.127,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 13:55:16.608625,195.71.206.116,d790302d-5916-3a1c-94c2-80f93c1ea8c9,GET,places/1/menu,JSESSIONID=eegw24qs8cnwz5t6kph1td48p77x8tr,application/json,application/json,195.71.206.116,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 13:55:16.609286,46.96.7.241,5fc23d43-2553-3ce3-b187-5cce9d6585b4,GET,map/1/menu,JSESSIONID=pcdy3h5rnfukgyfn92affev4mtqbbmx,application/json,application/json,46.96.7.241,"Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.3) Gecko/20090913 Firefox/3.5.3",200
2020-03-18 13:55:16.618021,204.152.80.10,32b1b5e6-7d4d-3530-919d-d863b277e733,GET,places/1/menu,JSESSIONID=ia6ps8t8fd9smxavh280jrkxbgqus32,application/json,application/json,204.152.80.10,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 13:55:16.623185,46.172.225.98,1d3e6a28-2a35-312c-876f-370529b4e8e2,GET,places/1/menu,JSESSIONID=1gj7u26jp5ai6efbei5ohhupwt4e110,application/json,application/json,46.172.225.98,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 13:55:16.624040,188.23.140.116,d65cd11b-1544-325e-aa44-a0e31acfaab1,GET,map/1/menu,JSESSIONID=871e1ouh2f9gc9p3zy8t7jw2tm3da0y,application/json,application/json,188.23.140.116,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.625768,192.174.206.217,2c8215e3-5824-37e9-b084-20faaa9fc179,GET,news/1/menu,JSESSIONID=ik14rrreipnb4dr710nyc936q5xxcrb,application/json,application/json,192.174.206.217,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 13:55:16.626096,197.149.131.167,43a08604-3529-3e62-9e6d-e7e1467150de,GET,places/1/menu,JSESSIONID=w3po334wd9zfpi8jh9wuxhpq1o08rva,application/json,application/json,197.149.131.167,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 13:55:16.626262,213.133.75.54,7783f2b8-bac5-32f3-888d-353229671997,GET,news/1/menu,JSESSIONID=xjjk4n16x26jri13bzk7k1ll4ikdenn,application/json,application/json,213.133.75.54,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 13:55:16.629843,57.71.53.61,a27712b5-302d-3629-8cd0-7691817c1410,GET,cricket/1/menu,JSESSIONID=bamd7ieow7mrun2mos0jy9k47rhet4q,application/json,application/json,57.71.53.61,"Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 6.0; en-US)",200
2020-03-18 13:55:16.630934,84.224.101.17,d1978f82-a151-3548-98e0-e1f203356dfa,GET,map/1/menu,JSESSIONID=0wg2pql43lg7m9msn1fpxrzz80r3ida,application/json,application/json,84.224.101.17,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
